feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Feature9	Metadata4_TP	Metadata4_TP	-0.0847118898162891	0.0258216951373459	1500	1500	0.00105956016997657	0.00575847918465525
Feature2	Metadata4_TP	Metadata4_TP	-0.0904530825000718	0.0281812643169807	1500	1500	0.00135701989256163	0.007218190917881
Feature19	Metadata4_TP	Metadata4_TP	-0.0884754522571751	0.0280927299102702	1500	1500	0.00166841730853714	0.00868967348196426
Feature8	Metadata4_TP	Metadata4_TP	-0.0729769683088359	0.0242613296767374	1500	1500	0.00267409144603063	0.0136433237042379
Feature42	Metadata4_TP	Metadata4_TP	-0.0719671623398354	0.0258301207755957	1500	1500	0.00540087817216364	0.0270043908608182
Feature7	Metadata5	Metadata5	0.0518540995751594	0.0212582343272343	1500	1500	0.0148335839914133	0.0727136470167317
Feature46	Metadata2	Metadata2	0.060265510670311	0.026506500781142	1500	1500	0.0231306710926401	0.111205149483847
Feature33	Metadata2	Metadata2	-0.0582818301519419	0.026825732355284	1500	1500	0.0299665052827196	0.141351440012828
Feature12_TP	Metadata2	Metadata2	-0.0108611695410506	0.00547327421031305	1500	1500	0.0473938774441643	0.219416099278538
Feature14_TP	Metadata2	Metadata2	-0.0111784834757243	0.00570526721383178	1500	1500	0.0502602452374393	0.228455660170179
